"","X","LarvSum","NumCriaderos","LarvaeIndex","Illiteracy","Unemployment","Overcrowding","LarvaePresence","NumChildren","NumAdults","InterruptFreq","InterruptDurHrs","TrashCollectPerWk","LargeSolidColl","SewerConn","FumigLWs","AbateLWs","BiolarvLWs","CanopyUse","ProtectMesh","BreedingSites","VolCriadero","OutsideLocation","DirtyWater","WaterVol","XCoord","YCoord","week0","week1","week2"
"90",90,2,1,2,6.28487247877996,6.33267642054939,3.22420095424718,1,0,5,1,12,3,1,1,0,0,0,1,0,0,67280,0,0,1,-79.95322,-2.11083,0.080538297099149,0,0.938923393640136
"91",91,36,1,36,6.28487247877996,6.33267642054939,3.22420095424718,1,1,6,0,0,4,1,0,1,1,1,1,1,1,151250,1,0,1,-79.9528,-2.10544,0.100000001490116,0,0
"92",92,2,1,2,6.28487247877996,6.33267642054939,3.22420095424718,1,3,2,1,8,4,1,0,0,0,1,1,0,0,67280,1,0,1,-79.88164,-2.25697,1.60000002384185,1.56376810969689,5.9856106604461
"93",93,137,2,68,6.28487247877996,6.33267642054939,3.22420095424718,1,3,3,1,8,4,1,0,0,0,1,1,0,0,121600,1,0,2,-79.88164,-2.25697,1.60000002384185,1.56376810969689,5.9856106604461
"94",94,2,1,2,6.28487247877996,6.33267642054939,3.22420095424718,1,1,2,1,8,4,1,0,0,0,1,1,0,0,336400,1,0,1,-79.88164,-2.25697,1.60000002384185,1.56376810969689,5.9856106604461
"95",95,14,2,7,5.46382449155489,8.68608683841376,3.87431357761001,1,2,3,0,0,3,1,0,0,1,0,1,0,1,100,1,0,60,-79.96073,-2.11048,0,16.5339615696005,0.255685408704451
"96",96,12,1,12,5.04916961196096,8.39539310440567,3.78849559896781,1,2,3,0,0,3,1,0,0,0,1,1,0,0,20,1,0,67,-79.96209,-2.11592,1.02834147170985,4.24428434036148,41.6873311692169
"97",97,1,1,1,5.04916961196096,8.39539310440567,3.78849559896781,1,3,5,0,0,3,1,0,1,0,1,1,1,0,1800,1,0,28,-79.96209,-2.11592,1.02834147170985,4.24428434036148,41.6873311692169
"98",98,3,1,3,5.04916961196096,8.39539310440567,3.78849559896781,0,1,4,0,0,3,1,0,1,0,1,1,1,0,200,1,0,68,-79.96209,-2.11592,1.02834147170985,4.24428434036148,41.6873311692169
"99",99,2,1,2,5.04916961196096,8.39539310440567,3.78849559896781,1,3,2,0,0,3,1,0,0,0,1,1,0,0,4,1,1,1,-79.96209,-2.11592,1.02834147170985,4.24428434036148,41.6873311692169
"100",100,1,1,1,5.04916961196096,8.39539310440567,3.78849559896781,1,1,3,0,0,3,1,0,1,0,1,1,1,0,200,1,0,68,-79.96209,-2.11592,1.02834147170985,4.24428434036148,41.6873311692169
"101",101,1,1,1,5.04916961196096,8.39539310440567,3.78849559896781,1,3,2,0,0,3,1,0,0,0,1,1,0,0,200,1,0,68,-79.96209,-2.11592,1.02834147170985,4.24428434036148,41.6873311692169
"102",102,1,1,1,5.04916961196096,8.39539310440567,3.78849559896781,1,3,2,0,0,3,1,0,1,0,1,1,1,0,200,1,0,68,-79.96209,-2.11592,1.02834147170985,4.24428434036148,41.6873311692169
"103",103,3,1,3,5.04916961196096,8.39539310440567,3.78849559896781,1,1,5,0,0,3,1,0,1,0,1,1,1,0,150,1,1,51,-79.96209,-2.11592,1.02834147170985,4.24428434036148,41.6873311692169
