"","KEYSC","IDP1","PupaeSum","NumCriaderos","PupaeIndex","Date","CEpiWeek","Illiteracy","Unemployment","Overcrowding","LarvaePresence","NumChildren","NumAdults","InterruptFreq","InterruptDurHrs","TrashCollectPerWk","LargeSolidColl","SewerConn","FumigLWs","AbateLWs","BiolarvLWs","CanopyUse","ProtectMesh","BreedingSites","VolCriadero","OutsideLocation","DirtyWater","WaterVol","XCoord","YCoord","week0","week1","week2","week3","week4","week5"
"78","CRISTO DEL CONSUELO 1 S01",15868,12,1,12,"2015-01-13",107,3.74492919543898,11.7108966957394,3.03339889716611,1,0,1,1,2,4,1,1,0,0,1,1,1,1,485980,0,0,1,-79.9087,-2.2078,0.169591813471279,6.9920856139479,0,0.468842608419285,0,0
"79","CRISTO DEL CONSUELO 1 S01",15417,3,1,3,"2015-01-12",107,3.74492919543898,11.7108966957394,3.03339889716611,1,0,7,1,1,4,0,1,0,0,1,1,0,1,32856,1,0,1,-79.21341,-2.21908,0.169591813471279,6.9920856139479,0,0.468842608419285,0,0
"95","FLOR DE BASTION 1 S01",42071,1,1,1,"2015-09-11",141,3.2432391043435,7.52244373698471,2.50414428077362,1,2,3,1,24,3,0,1,0,0,1,1,0,1,252000,1,0,23,-79.95724,-2.09547,0,0,1.61805299200048,0,0.111710088341435,0.01171008597885
"96","FLOR DE BASTION 1 S01",42072,4,1,4,"2015-09-11",141,3.2432391043435,7.52244373698471,2.50414428077362,1,2,3,1,24,3,0,1,0,0,1,1,0,1,108000,0,0,1,-79.95715,-2.0955,0,0,1.61805299200048,0,0.111710088341435,0.01171008597885
"98","FLOR DE BASTION 1 S01",42070,1,1,1,"2015-09-11",141,3.2432391043435,7.52244373698471,2.50414428077362,1,1,3,1,24,0,0,1,0,0,1,1,0,1,144000,0,0,1,-79.95718,-2.09532,0,0,1.61805299200048,0,0.111710088341435,0.01171008597885
"100","FORTIN 1 S01",37021,17,1,17,"2015-05-04",123,4.68199228631547,8.3822074344322,3.15364306760217,1,1,7,1,12,3,1,0,0,0,0,1,0,1,269120,1,0,1,-79.9522,-2.118825,39.6577286507866,18.0991417865617,12.8008587692668,0.649999976158142,0.849141448380378,0.400000005960465
"101","FORTIN 1 S01",37298,24,2,12,"2015-05-07",123,4.68199228631547,8.3822074344322,3.15364306760217,1,2,3,1,2,3,1,0,0,0,0,1,0,1,148016,1,0,2,-79.95096,-2.11791,39.6577286507866,18.0991417865617,12.8008587692668,0.649999976158142,0.849141448380378,0.400000005960465
"102","FORTIN 1 S01",37233,42,1,42,"2015-05-06",123,4.68199228631547,8.3822074344322,3.15364306760217,1,0,5,1,3,3,1,0,0,0,0,1,0,1,100920,1,0,1,-79.95156,-2.11758,39.6577286507866,18.0991417865617,12.8008587692668,0.649999976158142,0.849141448380378,0.400000005960465
"103","FORTIN 1 S01",37221,30,2,15,"2015-05-06",123,4.68199228631547,8.3822074344322,3.15364306760217,1,1,7,0,0,3,1,0,0,0,0,1,0,1,9375,1,0,2,-79.95175,-2.11711,39.6577286507866,18.0991417865617,12.8008587692668,0.649999976158142,0.849141448380378,0.400000005960465
"104","FORTIN 1 S01",37032,16,1,16,"2015-05-04",123,4.68199228631547,8.3822074344322,3.15364306760217,1,0,3,1,3,3,1,0,0,0,0,1,0,1,67280,1,0,1,-79.95265,-2.11845,39.6577286507866,18.0991417865617,12.8008587692668,0.649999976158142,0.849141448380378,0.400000005960465
