"","PupaeSum","OutsideLocation","DirtyWater","WaterVol","XCoord","YCoord","Year","EpiWk","CEpiWeek","TypeEng","TypeEngNew","MatEng","Sewer","BucketPrt","Bamboo","Toilet","TrashCan","SmlLiqCon","Tank","Vase","Furniture","CarPart","Sink","Pool","Tub","Barrel","MatPlastic","MatMetal","MatCement","MatRubber","MatCeramic","MatGlass"
"882",36,1,1,1,-79.87656,-2.26264,2016,12,169,"Bucket","Bucket Parts","Plastic",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"883",2,1,1,1,-79.87659,-2.26386,2016,12,169,"Container","Container","Metal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"884",50,1,1,1,-79.87659,-2.26386,2016,12,169,"Container","Container","Plastic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"885",19,1,1,1,999999,999999,2016,12,169,"Drawer","Furniture","Plastic",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"886",49,1,1,1,-79.87616,-2.26381,2016,12,169,"Container","Container","Plastic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"887",8,1,0,1,-79.87581,-2.26434,2016,12,169,"Pool","Pool","Plastic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"888",5,1,1,1,-79.87644,-2.2648,2016,12,169,"Container","Container","Metal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"889",1,1,1,1,-79.87507,-2.26833,2016,16,173,"Pot","Small Liq Storage","Metal",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"890",68,1,0,1,-79.57524,-2.26836,2016,16,173,"Tank","Tank","Plastic",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"891",21,1,1,146,-79.87621,-2.26674,2016,12,169,"Container","Container","Rubber",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"893",2,1,0,1,-79.88475,-2.26762,2016,11,168,"Tank","Tank","Plastic",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"894",21,1,1,1,-79.88473,-2.26739,2016,11,168,"Tub","Tub","Plastic",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"895",37,1,0,1,-79.87609,-2.2673,2016,12,169,"Bucket Cap","Bucket Parts","Plastic",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"896",3,0,1,1,-79.88441,-2.26745,2016,11,168,"Tank","Tank","Plastic",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"897",41,1,1,1,-79.88333,-2.26722,2016,11,168,"Wheel Rim","Car Parts","Rubber",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"898",4,1,1,1,-79.88303,-2.26746,2016,11,168,"Tank","Tank","Plastic",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"899",8,1,1,1,-79.88284,-2.26721,2016,11,168,"Trash","Trash","Plastic",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"902",1,1,0,1,-79.88645,-2.27408,2016,9,166,"Tank","Tank","Plastic",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"903",2,1,1,1,-79.88645,-2.27408,2016,9,166,"Container","Container","Glass",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"904",80,1,1,1,-79.88799,-2.2681,2016,11,168,"Bucket","Bucket Parts","Plastic",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"905",52,1,1,146,-79.88654,-2.27419,2016,9,166,"Container","Container","Plastic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"906",23,1,1,1,-79.8889,-2.26823,2016,11,168,"Bucket","Bucket Parts","Plastic",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"907",2,1,0,1,-79.88737,-2.27359,2016,9,166,"Bucket","Bucket Parts","Plastic",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"908",22,1,1,1,-79.88766,-2.27327,2016,9,166,"Cover","Cover","Plastic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"909",17,1,1,1,-79.88766,-2.27327,2016,9,166,"Cover","Cover","Plastic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"910",6,1,1,1,-79.88766,-2.27327,2016,9,166,"Wheel Rim","Car Parts","Rubber",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"911",20,1,1,1,-79.88766,-2.27327,2016,9,166,"Wheel Rim","Car Parts","Rubber",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"912",26,1,1,1,-79.88716,-2.26776,2016,11,168,"Bucket","Bucket Parts","Plastic",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"913",2,1,1,1,-79.88044,-2.26676,2016,11,168,"Cup","Small Liq Storage","Metal",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"914",9,1,0,1,-79.88721,-2.26822,2016,11,168,"Tank","Tank","Plastic",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"915",21,1,0,1,-79.88005,-2.26681,2016,11,168,"Trash","Trash","Plastic",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"916",17,1,1,1,-79.88005,-2.26681,2016,11,168,"Trash","Trash","Plastic",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
