"","IDP1","LarvSum","NumCriaderos","PupaeIndex","Date","CEpiWeek","SEStatus","LarvaePresence","NumChildren","NumAdults","InterruptFreq","InterruptDurHrs","TrashCollectPerWk","LargeSolidColl","SewerConn","FumigLWs","AbateLWs","BiolarvLWs","CanopyUse","ProtectMesh","BreedingSites","VolCriadero","OutsideLocation","DirtyWater","WaterVol","XCoord","YCoord","week0","week1","week2"
"83",38694,4,1,4,"2015-06-01",127,"Media",1,1,4,1,2,4,1,0,0,0,0,1,0,1,300,1,1,1,-79.95317,-2.11028,0.080538297099149,0,0.938923393640136
"84",47429,36,1,36,"2016-07-13",185,"Media",1,1,6,0,0,4,1,0,1,1,1,1,0,1,151250,1,0,1,-79.9528,-2.10544,0.100000001490116,0,0
"85",16434,6,1,6,"2015-03-12",115,"Media",1,2,4,1,6,3,1,0,0,0,1,1,0,1,168200,1,0,1,-79.88164,-2.25697,1.60000002384185,1.56376810969689,5.9856106604461
"86",47516,16,1,16,"2016-07-15",185,"Media",1,2,5,0,0,3,1,0,1,1,1,1,0,1,2000,0,1,1,-79.9501,-2.10484,0.100000001490116,0,0
"87",38765,6,1,6,"2015-06-02",127,"Media",1,1,5,0,0,4,1,1,0,0,1,0,0,1,144000,1,0,1,-79.95255,-2.11049,0.080538297099149,0,0.938923393640136
"88",16725,18,1,18,"2015-03-13",115,"Media",0,1,6,1,2,3,1,0,0,0,1,1,0,1,0,1,0,1,-79.95252,-2.09792,1.60000002384185,1.56376810969689,5.9856106604461
"89",38869,6,1,6,"2015-06-04",127,"Media",1,4,2,1,2,3,1,1,0,0,1,1,0,1,108000,1,0,1,-79.95328,-2.10934,0.080538297099149,0,0.938923393640136
"90",38750,3,1,3,"2015-06-02",127,"Media",1,0,3,0,0,4,1,1,0,0,0,1,0,1,108000,1,0,1,-79.95279,-2.11096,0.080538297099149,0,0.938923393640136
"91",37335,4,1,4,"2015-05-08",123,"Media",1,0,3,1,2,3,1,0,0,0,0,1,0,1,125000,1,0,1,-79.95066,-2.1172,40.5392356078982,18.3916150567124,13.1224641646427
"92",38944,12,1,12,"2015-06-04",127,"Media",1,2,2,0,0,4,1,0,0,0,1,1,0,1,180000,1,0,1,-79.94948,-2.11101,0.080538297099149,0,0.938923393640136
"93",16710,102,1,102,"2015-03-09",115,"Media",1,0,2,1,8,4,0,0,0,0,1,1,0,1,97470,1,0,1,-79.88164,-2.25697,1.60000002384185,1.56376810969689,5.9856106604461
"94",37323,2,1,2,"2015-05-08",123,"Media",1,3,5,1,2,3,1,0,0,0,0,1,0,1,168200,1,0,1,-79.9511,-2.11785,40.5392356078982,18.3916150567124,13.1224641646427
"95",16804,137,2,68.5,"2015-03-11",115,"Media",1,3,3,1,8,4,1,0,0,0,1,1,0,1,121600,1,0,2,-79.88164,-2.25697,1.60000002384185,1.56376810969689,5.9856106604461
"96",47485,146,1,146,"2016-07-14",185,"Media",1,0,1,0,0,3,1,0,1,1,1,1,0,1,121000,1,0,1,-79.9549,-2.10508,0.100000001490116,0,0
