"","IDP1","PupaeSum","NumCriaderos","PupaeIndex","LarvaePresence","NumChildren","NumAdults","InterruptFreq","InterruptDurHrs","TrashCollectPerWk","LargeSolidColl","SewerConn","FumigLWs","AbateLWs","BiolarvLWs","CanopyUse","ProtectMesh","BreedingSites","VolCriadero","OutsideLocation","DirtyWater","WaterVol","XCoord","YCoord","week0","week1","week2"
"23",30016,8,2,4,1,0,5,0,0,3,1,0.81,1,0,0.17,0,0.16,0.0299999999999999,0,1,1,71,-79.90846,-2.21084,36.0940795921754,15.7811808371229,22.8961676939234
"24",30092,6,2,3,1,1,3,0,0,3,1,0.79,1,0,0.16,0,0.16,0.0199999999999999,0,1,1,28,-79.90846,-2.21084,36.0940795921754,15.7811808371229,22.8961676939234
"25",9403,9,1,9,1,0,2,1,3,7,1,1,0,0,0,1,0,1,3168,1,1,1,-79.91048,-2.20872,0,0,0
"26",30049,2,1,2,1,3,5,0,0,3,1,0.804,1,0,0.47,0,0.18,0.0999999999999999,0,1,1,64,-79.90846,-2.21084,36.0940795921754,15.7811808371229,22.8961676939234
"27",28226,1,1,1,1,0,3,0,0,3,1,0.95,0,0,0.676666666666667,0,0.5225,0.508,0,1,1,1,-79.88733,-2.15937,0.100000001490116,1.85208489048041,0
"28",40803,9,1,9,1,1,5,1,3,3,0,1,0,0,0,1,0,1,180000,0,0,1,-79.92935,-2.08195,0,0,0
"29",40814,4,1,4,0,3,2,1,0,3,0,1,1,0,1,1,0,1,288000,1,0,1,-79.92919,-2.08161,0,0,0
"30",28978,158,1,158,1,1,2,0,0,3,1,0.626666666666667,1,0.55,1,0,0.44,0.42,0,0,1,23,-79.93024,-2.08548,0.218120967374543,0.168866062536546,2.1051079748181
"31",29235,20,1,20,1,1,5,0,0,3,1,0.69,1,0.57,1,0,0.38,0.39,0,1,1,23,-79.93024,-2.08548,0.218120967374543,0.168866062536546,2.1051079748181
"32",29093,29,1,29,1,2,3,0,0,3,1,0.65,0.545,0.54,1,0,0.36,0.45,0,1,1,18,-79.93024,-2.08548,0.218120967374543,0.168866062536546,2.1051079748181
"33",29085,14,1,14,1,0,4,0,0,3,1,0.82,0,1,0.86,0,0.405,0.488,0,1,0,1,-79.93024,-2.08548,0.218120967374543,0.168866062536546,2.1051079748181
"34",8074,6,1,6,1,2,5,1,12,2,1,1,1,0,1,1,1,0,198476,1,0,1,-79.93344,-2.08096,0,7.79193418176226,0
"35",8052,67,1,67,1,1,4,1,12,3,1,1,0,0,1,1,0,1,87025,1,1,1,-79.93275,-2.08168,0,7.79193418176226,0
"36",8267,21,1,21,1,7,8,1,12,3,1,1,0,0,1,1,0,1,518940,1,0,1,-79.93551,-2.08866,0,7.79193418176226,0
"37",8173,2,1,2,1,3,3,1,12,3,1,1,0,0,1,1,0,1,52920,0,0,1,-79.9343,-2.08532,0,7.79193418176226,0
"38",7988,1,1,1,1,0,2,1,4,0,0.75,1,0,0,1,1,0,0.67,300,0,0,1,-79.9322,-2.08005,0,7.79193418176226,0
"39",8188,16,1,16,1,0,4,1,12,3,1,1,0,0,1,1,0,1,11700,0,0,1,-79.9344,-2.08569,0,7.79193418176226,0
"40",8100,4,1,4,1,3,6,1,6,3,1,1,1,0,1,1,0,1,163072,1,0,1,-79.93398,-2.0842,0,7.79193418176226,0
"41",7921,1,1,1,1,1,3,1,3,3,1,1,1,0,1,1,0,1,165888,0,1,1,-79.93573,-2.08559,0,7.79193418176226,0
"42",8345,6,2,3,1,0,4,1,12,3,1,1,0,0,1,1,1,1,221500,1,0,2,-79.93505,-2.08558,0,7.79193418176226,0
"43",8395,6,2,3,1,1,5,1,12,3,1,1,0,0,1,1,0,1,161646.5,1,0,2,-79.93531,-2.0851,0.100000001490116,0,7.79193418176226
"44",39493,5,1,5,1,0,1,1,3,4,1,1,0,0,0,1,0,1,27000,1,1,1,-79.92806,-2.09757,0,0.983307184566876,6.60744392204487
"45",17165,6,1,6,1,0,6,1,3,3,1,1,0,0,0,1,0,1,2400,1,0,1,-79.922298,-2.098565,0.804155279995967,0.839095220678833,13.0468917093075
"46",39543,18,1,18,1,0,2,1,2,3,1,1,0,0,0,0,1,1,384000,1,0,1,-79.92494,-2.10018,0,0.983307184566876,6.60744392204487
"47",39611,7,1,7,1,1,2,1,3,4,1,1,0,0,1,1,0,1,100920,1,0,1,-79.92559,-2.09996,0,0.983307184566876,6.60744392204487
"48",39515,2,1,2,1,0,2,1,3,7,1,1,0,0,0,1,0,1,9000,1,0,1,-79.92879,-2.09953,0,0.983307184566876,6.60744392204487
"49",16261,1,1,1,1,2,2,0,1.01,3,0,0.9,0,0,1,0,1,0,1500,1,0,1,-79.92688,-2.09034,0.839095220678833,13.0468917093075,0.108176971595827
"50",16844,73,1,73,1,1,5,1,24,3,0,1,0,0,1,1,0,0,12500,1,0,1,-79.92554,-2.0964,0.804155279995967,0.839095220678833,13.0468917093075
"51",25743,4,1,4,1,2,3,0,0.459999999999998,3,1,0.32,0,0.37,1,1,1,0.54,0,1,0,65,-79.94424,-2.21871,0,0,0
"52",25772,1,1,1,1,0,2,0,0.669999999999999,3,1,0.31,0,0.399,1,1,1,0.595,0,0.928571428571429,0.19,28,-79.94424,-2.21871,0,0,0
"53",25572,1,1,1,1,0,4,0,0.579999999999999,3,1,0.24,0,0.319,1,1,0,0.515,0,0.88,0.236666666666667,68,-79.94424,-2.21871,0,0,0
"54",25607,7,1,7,1,0,5,0,0.289999999999998,3,1,0.263333333333333,0,0.339,1,0,0,0.39,0,0.92,0.266666666666667,28,-79.94424,-2.21871,0,0,0
